Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
5177,"ADXL_Y__fft_coefficient__attr_""real""__coeff_6",0.7463024800282853,0.6205098034289727,0.1270851151787342,0.20725135269631714,0.6205098034289727,0.7463024800282853,0.6805056981252295
5178,"MMA_Y__fft_coefficient__attr_""angle""__coeff_72",0.6489775833259783,0.6208039336861182,0.1877703041333237,0.2070455398607537,0.6208039336861182,0.6489775833259783,0.6347344614899036
5179,"MMA_X__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",0.2049282439351422,0.6210166619277004,0.6883981814726159,0.2068967475107248,0.2049282439351422,0.6210166619277004,0.3567405976102349
5180,"MMA_Z__fft_coefficient__attr_""angle""__coeff_26",0.6136165700175716,0.6210166619277004,0.21210292127219146,0.2068967475107248,0.6136165700175716,0.6210166619277004,0.6173055272843727
5181,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_87",0.6934593152506011,0.6221665872078063,0.15897901358200103,0.20609331592245586,0.6221665872078063,0.6934593152506011,0.6568464170085186
5182,"GYRO_Z__fft_coefficient__attr_""imag""__coeff_10",0.5475247367943067,0.622549868233496,0.26159625491600513,0.20582585446324775,0.5475247367943067,0.622549868233496,0.5838334118101457
5183,"ADXL_Z__fft_coefficient__attr_""imag""__coeff_27",0.7789497714751605,0.6227321727203953,0.10849054576063843,0.20569869638877408,0.6227321727203953,0.7789497714751605,0.6964747544820143
5184,"MMA_X__fft_coefficient__attr_""angle""__coeff_74",0.6455413033412897,0.6233832173164655,0.1900759652653517,0.20524489395035903,0.6233832173164655,0.6455413033412897,0.6343655212789844
5185,"MMA_Z__fft_coefficient__attr_""real""__coeff_12",0.18263432870670324,0.6239141848348597,0.738417587334867,0.204875140470812,0.18263432870670324,0.6239141848348597,0.3375620658751581
5186,"MMA_X__fft_coefficient__attr_""imag""__coeff_91",0.7259773749715984,0.6241255814836612,0.1390769138427413,0.20472801631431797,0.6241255814836612,0.7259773749715984,0.673127812007594
5187,"GYRO_X__fft_coefficient__attr_""imag""__coeff_54",0.9998935931412524,0.6241255814836612,4.621437039735398e-05,0.20472801631431797,0.6241255814836612,0.9998935931412524,0.7899741579577596
5188,"MMA_Y__fft_coefficient__attr_""imag""__coeff_21",0.9998935931412524,0.6245559775797943,4.621437039735398e-05,0.20442863068532577,0.6245559775797943,0.9998935931412524,0.7902464935323079
5189,"MMA_X__fft_coefficient__attr_""angle""__coeff_20",0.6351236091951499,0.6246790515702001,0.1971417431063016,0.20434305774856887,0.6246790515702001,0.6351236091951499,0.6298796820202003
5190,"MMA_Y__fft_coefficient__attr_""real""__coeff_18",0.8021997620578075,0.6252751339235346,0.09571747117137092,0.20392884209260045,0.6252751339235346,0.8021997620578075,0.7082341164149911
5191,"GYRO_X__fft_coefficient__attr_""angle""__coeff_53",0.6329210818280324,0.6258123947375546,0.1986504382658891,0.20355583953943054,0.6258123947375546,0.6329210818280324,0.6293567016396066
5192,"ADXL_X__fft_coefficient__attr_""imag""__coeff_91",0.7074289137920527,0.6259976436139061,0.15031719382332948,0.20342730156178102,0.6259976436139061,0.7074289137920527,0.6654688821110797
5193,"ADXL_Y__fft_coefficient__attr_""abs""__coeff_31",0.2568071257402322,0.6261622353378903,0.590392929876053,0.20331312879661495,0.2568071257402322,0.6261622353378903,0.40100239887587014
5194,"ADXL_Y__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.9193987163597809,0.6262800195072579,0.036496106935777796,0.2032314435695878,0.6262800195072579,0.9193987163597809,0.7588155546750155
5195,"GYRO_Y__fft_coefficient__attr_""angle""__coeff_51",0.6465639665270558,0.6266301098820168,0.18938850259257936,0.20298874089153324,0.6266301098820168,0.6465639665270558,0.6365190094495228
5196,"GYRO_Y__fft_coefficient__attr_""abs""__coeff_42",0.002438733743931257,0.6273574382168068,2.61283561250034,0.20248494846036968,0.002438733743931257,0.6273574382168068,0.039114674408533626
5197,"MMA_Z__fft_coefficient__attr_""angle""__coeff_46",0.6595396440715955,0.6276377210672905,0.1807590944556418,0.20229096317451337,0.6276377210672905,0.6595396440715955,0.6433909846731054
5198,"GYRO_Z__fft_coefficient__attr_""imag""__coeff_75",0.6522920378142792,0.628188412856062,0.18555792264940704,0.2019100785696115,0.628188412856062,0.6522920378142792,0.6401267842804256
5199,"MMA_Y__fft_coefficient__attr_""real""__coeff_28",0.7993937410858377,0.6292893758740156,0.09723925640431595,0.20114960026941942,0.6292893758740156,0.7993937410858377,0.7092601697582497
5200,"ADXL_Y__fft_coefficient__attr_""real""__coeff_10",0.3354266835634351,0.6294029299026154,0.4744023917495956,0.20107123975521554,0.3354266835634351,0.6294029299026154,0.45947637306214506
5201,"MMA_Y__fft_coefficient__attr_""imag""__coeff_87",0.7423979213988281,0.6294029299026154,0.12936325274593302,0.20107123975521554,0.6294029299026154,0.7423979213988281,0.6835696210935898
5202,"ADXL_Y__fft_coefficient__attr_""angle""__coeff_8",0.7938930062583037,0.6297731241906016,0.10023802392386574,0.2008158769874532,0.6297731241906016,0.7938930062583037,0.7070873205088327
5203,"MMA_Y__fft_coefficient__attr_""imag""__coeff_73",0.13952725612769165,0.6298421754427836,0.8553409463000307,0.20076826153243302,0.13952725612769165,0.6298421754427836,0.29644586442220405
5204,"GYRO_Z__fft_coefficient__attr_""real""__coeff_85",0.49789112220447446,0.6309334965273263,0.3028656174722449,0.20001641510342963,0.49789112220447446,0.6309334965273263,0.5604785335964112
5205,"MMA_Y__fft_coefficient__attr_""real""__coeff_60",0.6347847196948901,0.6313373790417471,0.1973735359689567,0.1997384970167006,0.6313373790417471,0.6347847196948901,0.6330587027977121
5206,"GYRO_X__fft_coefficient__attr_""angle""__coeff_75",0.6545135594585103,0.6322831989358068,0.1840813518068701,0.19908835813049724,0.6322831989358068,0.6545135594585103,0.6433023605749385
5207,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_28",0.34674557729921884,0.6322831989358068,0.45998906959654867,0.19908835813049724,0.34674557729921884,0.6322831989358068,0.46823221037386265
5208,"MMA_X__fft_coefficient__attr_""angle""__coeff_30",0.6609710672624942,0.6334264773093118,0.17981755050415196,0.19830378701873647,0.6334264773093118,0.6609710672624942,0.6470522194842221
5209,"MMA_X__fft_coefficient__attr_""imag""__coeff_65",0.599038995914151,0.6337270885434143,0.22254490522490436,0.19809772864327796,0.599038995914151,0.6337270885434143,0.6161389768588295
5210,"GYRO_Z__fft_coefficient__attr_""real""__coeff_45",0.3300685492673245,0.6337404452563952,0.48139585564659976,0.19808857535676058,0.3300685492673245,0.6337404452563952,0.45735958432923063
5211,"ADXL_X__fft_coefficient__attr_""imag""__coeff_57",0.599038995914151,0.6337450866816133,0.22254490522490436,0.1980853946571634,0.599038995914151,0.6337450866816133,0.6161477261106141
5212,MMA_Y__percentage_of_reoccurring_datapoints_to_all_datapoints,0.48265981236455224,0.6340581826648214,0.3163588602757767,0.19787088841023162,0.48265981236455224,0.6340581826648214,0.5532037630685566
5213,"MMA_Y__fft_coefficient__attr_""real""__coeff_6",0.7492424987054742,0.6347948639837493,0.12537759644655222,0.19736659570505977,0.6347948639837493,0.7492424987054742,0.6896486714672813
5214,ADXL_Y__absolute_sum_of_changes,0.9848653952150976,0.6359757541612758,0.006623121898296996,0.19655944100989325,0.6359757541612758,0.9848653952150976,0.7914230932120092
5215,"GYRO_Z__fft_coefficient__attr_""real""__coeff_26",0.8975314573467712,0.6363917197917099,0.046950321008471484,0.1962754796731049,0.6363917197917099,0.8975314573467712,0.7557655639866582
5216,"ADXL_Y__agg_autocorrelation__f_agg_""median""__maxlag_40",0.9741514120355723,0.6364905231079745,0.011373535625541024,0.19620805829870366,0.6364905231079745,0.9741514120355723,0.7874250071168005
5217,"GYRO_Y__fft_coefficient__attr_""imag""__coeff_78",0.9998935931412524,0.6365721768426678,4.621437039735398e-05,0.19615234734832535,0.6365721768426678,0.9998935931412524,0.7978122844359843
5218,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_10",0.9246834069058198,0.6365721768426678,0.034006935551595355,0.19615234734832535,0.6365721768426678,0.9246834069058198,0.7672207825810847
5219,"ADXL_X__fft_coefficient__attr_""imag""__coeff_88",0.9324289173551623,0.637166534113277,0.03038426619711088,0.19574704271336524,0.637166534113277,0.9324289173551623,0.7707869365643037
5220,"GYRO_Z__fft_coefficient__attr_""imag""__coeff_83",0.4576009719831457,0.6375384470862404,0.3395130617358618,0.1954936197506065,0.4576009719831457,0.6375384470862404,0.5401279598977347
5221,"GYRO_Y__fft_coefficient__attr_""imag""__coeff_56",0.8006492166084972,0.6384338815747838,0.09655771694822544,0.19488407311329542,0.6384338815747838,0.8006492166084972,0.7149556539668546
5222,"ADXL_X__fft_coefficient__attr_""angle""__coeff_50",0.6678525840618151,0.6388398290160738,0.17531938931157817,0.19460801522817758,0.6388398290160738,0.6678525840618151,0.6531851426739536
5223,MMA_Y__value_count__value_1,0.56044995864942,0.6389617319261522,0.25146315854202644,0.19452515140494578,0.56044995864942,0.6389617319261522,0.5984196489392489
5224,"GYRO_Y__fft_coefficient__attr_""real""__coeff_25",0.27749039631926725,0.6389648847413983,0.5567520428033645,0.19452300848023324,0.27749039631926725,0.6389648847413983,0.4210779252121697
5225,"MMA_Z__fft_coefficient__attr_""real""__coeff_35",0.44546621777095546,0.6389709464112465,0.3511852253913162,0.19451888847717513,0.44546621777095546,0.6389709464112465,0.5335166077671302
5226,"MMA_X__fft_coefficient__attr_""real""__coeff_53",0.9687026276649224,0.6389709464112465,0.01380952221132464,0.19451888847717513,0.6389709464112465,0.9687026276649224,0.786748266467818
