Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
3704,"ADXL_Y__fft_coefficient__attr_""angle""__coeff_41",6.44300963208211e-13,1.950307111945555e-12,12.190911219397565,11.70989699554959,6.44300963208211e-13,1.950307111945555e-12,1.1209749108603392e-12
3705,GYRO_Z__skewness,2.7512124012116864e-12,1.0677140539931325e-15,11.560475879580029,14.971545040753595,1.0677140539931325e-15,2.7512124012116864e-12,5.4198783623748516e-14
3706,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_45",2.761494010924418e-12,1.874324082581377e-23,11.558855894328879,22.727155314671283,1.874324082581377e-23,2.761494010924418e-12,7.194396936908525e-18
3707,"MMA_Y__fft_coefficient__attr_""imag""__coeff_85",2.776191058280882e-12,1.2990567163109988e-12,11.556550648915366,11.88637188738487,1.2990567163109988e-12,2.776191058280882e-12,1.899060199157025e-12
3708,"ADXL_Z__fft_coefficient__attr_""angle""__coeff_24",8.003078356567801e-13,3.53896219046843e-12,12.09674293099328,11.451124077249075,8.003078356567801e-13,3.53896219046843e-12,1.6829317190917065e-12
3709,"MMA_X__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",4.140226312018952e-12,1.1728789634802337e-22,11.382975918933514,21.93074680306335,1.1728789634802337e-22,4.140226312018952e-12,2.2036298113372807e-17
3710,"MMA_X__linear_trend__attr_""intercept""",1.120228632949973e-16,4.787715853594164e-12,15.950693330994852,11.319871632467374,1.120228632949973e-16,4.787715853594164e-12,2.3158878180137965e-14
3711,GYRO_X__count_below__t_0,4.905884462469743e-12,1.9324482281515654e-50,11.309282683994024,49.713892132353635,1.9324482281515654e-50,4.905884462469743e-12,3.0790205808042187e-31
3712,"MMA_X__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",1.1494470281115996e-16,5.080325910945416e-12,15.939511038251961,11.294108426144224,1.1494470281115996e-16,5.080325910945416e-12,2.416519298531374e-14
3713,"MMA_Y__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",5.132828935995483e-12,1.937070475442138e-56,11.289643209417628,55.71285457827994,1.937070475442138e-56,5.132828935995483e-12,3.1531970105611754e-34
3714,"MMA_X__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",1.1896262612354497e-16,5.420223004924367e-12,15.924589457243535,11.265982844860929,1.1896262612354497e-16,5.420223004924367e-12,2.5392990427302076e-14
3715,"ADXL_X__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",7.264957264240085e-14,5.4520130310699935e-12,13.138766936074742,11.263443114811864,7.264957264240085e-14,5.4520130310699935e-12,6.293539677701536e-13
3716,"MMA_X__fft_coefficient__attr_""imag""__coeff_2",5.508338145036915e-12,4.943642907700444e-13,11.258979407192168,12.305952907016353,4.943642907700444e-13,5.508338145036915e-12,1.650189589226873e-12
3717,"GYRO_Y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",5.868996919864136e-12,1.0493944373618405e-13,11.231436118410496,12.97906124224313,1.0493944373618405e-13,5.868996919864136e-12,7.847861314141069e-13
3718,MMA_X__count_below__t_0,6.488634410067367e-12,3.090922370363292e-12,11.187846694659738,11.509911902263198,3.090922370363292e-12,6.488634410067367e-12,4.478377524415092e-12
3719,"ADXL_Y__fft_coefficient__attr_""real""__coeff_4",1.4892249808547557e-15,6.7261707112483625e-12,14.82703968736341,11.17223211442068,1.4892249808547557e-15,6.7261707112483625e-12,1.00083872070802e-13
3720,"ADXL_Z__fft_coefficient__attr_""imag""__coeff_30",7.28200170767612e-12,7.876609423138901e-18,11.13774922355722,17.103660689325793,7.876609423138901e-18,7.28200170767612e-12,7.57347233902622e-15
3721,"ADXL_Z__fft_coefficient__attr_""angle""__coeff_35",4.741639701614036e-12,7.376161545874258e-12,11.324071449418499,11.132169580333835,4.741639701614036e-12,7.376161545874258e-12,5.913975011059495e-12
3722,"GYRO_Y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",7.698890330198707e-12,1.320886419516488e-13,11.113571866801607,12.879134524927458,1.320886419516488e-13,7.698890330198707e-12,1.0084324311775322e-12
3723,"MMA_Y__fft_coefficient__attr_""real""__coeff_4",1.9458496808534472e-15,7.72683566031361e-12,14.710890712524703,11.11199832453224,1.9458496808534472e-15,7.72683566031361e-12,1.226183538611911e-13
3724,"GYRO_Y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",7.956975268827655e-12,1.3534823447531924e-13,11.099251991772825,12.86854740492951,1.3534823447531924e-13,7.956975268827655e-12,1.0377680638753544e-12
3725,"GYRO_Y__linear_trend__attr_""intercept""",8.163471012731644e-12,1.3824811232753808e-13,11.088125145025892,12.859340789942474,1.3824811232753808e-13,8.163471012731644e-12,1.0623485574662984e-12
3726,"MMA_Y__fft_coefficient__attr_""angle""__coeff_41",4.05253834260789e-12,9.241234984424964e-12,11.392272867434597,11.034269986455097,4.05253834260789e-12,9.241234984424964e-12,6.119678023183212e-12
3727,"MMA_X__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",1.5929896259850127e-16,9.342771615981343e-12,15.79778705244252,11.029524267349647,1.5929896259850127e-16,9.342771615981343e-12,3.857841140094485e-14
3728,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_85",2.6011362811531157e-12,9.8562417974315e-12,11.584836893247306,11.006288650755732,2.6011362811531157e-12,9.8562417974315e-12,5.063341597711622e-12
3729,ADXL_X__partial_autocorrelation__lag_7,1.0297195350161597e-11,7.353380949227853e-123,10.987281048092198,122.13351293438703,7.353380949227853e-123,1.0297195350161597e-11,2.7517121964034668e-67
3730,"GYRO_Z__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",8.11535331775803e-29,1.0481450670691149e-11,28.090692567567586,10.979578605264907,8.11535331775803e-29,1.0481450670691149e-11,2.9165163376074294e-20
3731,"GYRO_Z__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",3.0776227730777596e-28,1.0637253038608585e-11,27.511784613097973,10.97317050965373,3.0776227730777596e-28,1.0637253038608585e-11,5.721665159253238e-20
3732,"GYRO_Z__linear_trend__attr_""rvalue""",4.326812961157852e-29,1.0795989744033043e-11,28.36383187801429,10.9667375366861,4.326812961157852e-29,1.0795989744033043e-11,2.1613011903251574e-20
3733,"MMA_Y__fft_coefficient__attr_""angle""__coeff_36",2.81987950727702e-13,1.0996469852463152e-11,12.54976944857521,10.958746712083151,2.81987950727702e-13,1.0996469852463152e-11,1.7609292998116194e-12
3734,"ADXL_Z__fft_coefficient__attr_""imag""__coeff_45",1.1100762495834882e-11,9.807453600493977e-18,10.954647189108814,17.00844373786038,9.807453600493977e-18,1.1100762495834882e-11,1.0434088992720176e-14
3735,"ADXL_X__fft_coefficient__attr_""imag""__coeff_2",1.125517956143504e-11,7.825883305560037e-13,10.948647572016785,12.10646663230158,7.825883305560037e-13,1.125517956143504e-11,2.967856496377731e-12
3736,"GYRO_Z__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",1.8970168767911505e-23,1.1821526067046148e-11,22.721928805397756,10.927326455796846,1.8970168767911505e-23,1.1821526067046148e-11,1.49751909699386e-17
